Ìè-8ÌÒÂ-5 (ÒÂ3-117ÂÌ) G = 13000 H0 = 400 T = 15
0,00000 400,00000 0,00000 -4,00000 0,00000 45,00000 194,00000 1,00000 0,00000 0,00000 
326,56695 504,06926 326,56695 17,08410 0,00000 45,00000 124,00738 0,93305 11,10000 21,08410 
328,83756 505,30731 328,83756 17,08410 0,00000 45,00000 123,78249 0,93305 11,20000 21,08410 
331,10409 506,54313 331,10409 17,08410 0,00000 45,00000 123,56133 0,93305 11,30000 21,08410 
333,36659 507,77675 333,36659 17,08410 0,00000 45,00000 123,34384 0,93305 11,40000 21,08410 
335,62514 509,00823 335,62514 17,08410 0,00000 45,00000 123,12996 0,93305 11,50000 21,08410 
337,87980 510,23758 337,87980 17,08410 0,00000 45,00000 122,91962 0,93305 11,60000 21,08410 
340,13064 511,46485 340,13064 17,08410 0,00000 45,00000 122,71278 0,93305 11,70000 21,08410 
342,37772 512,69007 342,37772 17,08410 0,00000 45,00000 122,50937 0,93305 11,80000 21,08410 
344,62111 513,91327 344,62111 17,08410 0,00000 45,00000 122,30933 0,93305 11,90000 21,08410 
346,86085 515,13449 346,86085 17,08410 0,00000 45,00000 122,11261 0,93305 12,00000 21,08410 
349,09703 516,35376 349,09703 17,08410 0,00000 45,00000 121,91916 0,93305 12,10000 21,08410 
351,34218 517,56036 351,34218 16,53135 0,00000 45,00000 122,64039 0,60000 12,20000 20,53135 
353,60888 518,74321 353,60888 15,97618 0,00000 45,00000 123,37458 0,60000 12,30000 19,97618 
355,89730 519,90182 355,89730 15,41882 0,00000 45,00000 124,12181 0,60000 12,40000 19,41882 
358,20758 521,03570 358,20758 14,85947 0,00000 45,00000 124,88213 0,60000 12,50000 18,85947 
360,53986 522,14437 360,53986 14,29834 0,00000 45,00000 125,65561 0,60000 12,60000 18,29834 
362,89429 523,22733 362,89429 13,73564 0,00000 45,00000 126,44229 0,60000 12,70000 17,73564 
365,27101 524,28412 365,27101 13,17158 0,00000 45,00000 127,24219 0,60000 12,80000 17,17158 
367,67013 525,31424 367,67013 12,60637 0,00000 45,00000 128,05535 0,60000 12,90000 16,60637 
370,09177 526,31721 370,09177 12,04022 0,00000 45,00000 128,88178 0,60000 13,00000 16,04022 
372,53606 527,29255 372,53606 11,47333 0,00000 45,00000 129,72147 0,60000 13,10000 15,47333 
375,00310 528,23979 375,00310 10,90593 0,00000 45,00000 130,57441 0,60000 13,20000 14,90593 
377,49299 529,15845 377,49299 10,33822 0,00000 45,00000 131,44059 0,60000 13,30000 14,33822 
380,00582 530,04806 380,00582 9,77039 0,00000 45,00000 132,31997 0,60000 13,40000 13,77039 
382,54169 530,90816 382,54169 9,20266 0,00000 45,00000 133,21251 0,60000 13,50000 13,20266 
385,10066 531,73826 385,10066 8,63522 0,00000 45,00000 134,11817 0,60000 13,60000 12,63522 
387,68283 532,53793 387,68283 8,06827 0,00000 45,00000 135,03687 0,60000 13,70000 12,06827 
390,28825 533,30669 390,28825 7,50201 0,00000 45,00000 135,96854 0,60000 13,80000 11,50201 
392,91699 534,04409 392,91699 6,93662 0,00000 45,00000 136,91311 0,60000 13,90000 10,93662 
395,56909 534,74970 395,56909 6,37230 0,00000 45,00000 137,87047 0,60000 14,00000 10,37230 
398,24461 535,42306 398,24461 5,80922 0,00000 45,00000 138,84053 0,60000 14,10000 9,80922 
400,94359 536,06374 400,94359 5,24757 0,00000 45,00000 139,82318 0,60000 14,20000 9,24757 
403,66606 536,67131 403,66606 4,68752 0,00000 45,00000 140,81830 0,60000 14,30000 8,68752 
406,41205 537,24534 406,41205 4,12923 0,00000 45,00000 141,82574 0,60000 14,40000 8,12923 
409,18158 537,78542 409,18158 3,57288 0,00000 45,00000 142,84539 0,60000 14,50000 7,57288 
411,97467 538,29113 411,97467 3,01862 0,00000 45,00000 143,87709 0,60000 14,60000 7,01862 
414,79131 538,76207 414,79131 2,46661 0,00000 45,00000 144,92068 0,60000 14,70000 6,46661 
417,63152 539,19783 417,63152 1,91699 0,00000 45,00000 145,97601 0,60000 14,80000 5,91699 
420,49529 539,59804 420,49529 1,36991 0,00000 45,00000 147,04291 0,60000 14,90000 5,36991 
423,38261 539,96230 423,38261 0,82551 0,00000 45,00000 148,12119 0,60000 15,00000 4,82551 
426,29346 540,29023 426,29346 0,28392 0,00000 45,00000 149,21068 0,60000 15,10000 4,28392 
429,22783 540,58148 429,22783 -0,25474 0,00000 45,00000 150,31118 0,60000 15,20000 3,74526 
432,18567 540,83567 432,18567 -0,79033 0,00000 45,00000 151,42250 0,60000 15,30000 3,20967 
435,16697 541,05246 435,16697 -1,32276 0,00000 45,00000 152,54444 0,60000 15,40000 2,67724 
438,17168 541,23150 438,17168 -1,85190 0,00000 45,00000 153,67680 0,60000 15,50000 2,14810 
